product_code,size_value,color_value,option_name
01P0000270438,FR,기타,기타/FR
01P0000271982,FR,기타,기타/FR
01P0000271984,FR,기타,기타/FR
01P0000271986,FR,기타,기타/FR
01P0000271991,FR,기타,기타/FR
01P0000272010,FR,그레이,그레이/FR
01P0000277340,FR,기타,기타/FR
01P0000277455,FR,기타,기타/FR
01P0000277971,FR,투명,투명/FR
01P0000279410,FR,기타,기타/FR
01P0000284417,FR,410 칸탈루프,410 칸탈루프/FR
01P0000284417,FR,425 핑크 구아바,425 핑크 구아바/FR
01P0000284417,FR,400 베이직,400 베이직/FR
01P0000284417,FR,405 스웨이드,405 스웨이드/FR
01P0000284417,FR,415 피오니,415 피오니/FR
01P0000284417,FR,445 모닝 라떼,445 모닝 라떼/FR
01P0000284417,FR,500 글램던,500 글램던/FR
01P0000284417,FR,515 크림 카라멜,515 크림 카라멜/FR
01P0000284417,FR,525 더스티 로즈,525 더스티 로즈/FR
01P0000284417,FR,530 아프리콧,530 아프리콧/FR
01P0000284417,FR,540 카라멜,540 카라멜/FR
01P0000284417,FR,555 트러플,555 트러플/FR
01P0000284610,FR,기타,기타/FR
01P0000285690,FR,기타,기타/FR
01P0000285692,FR,기타,기타/FR
01P0000285693,FR,기타,기타/FR
01P0000286961,FR,기타,기타/FR
01P0000286962,FR,기타,기타/FR
01P0000287145,FR,기타,기타/FR
1811152057,F,투명,투명/F
1812155297,F,화이트,화이트/F
1812155300,F,투명,투명/F
1812155304,F,투명,투명/F
1812155306,F,투명,투명/F
1812155852,FR,그레이,그레이/FR
1812159089,FR,블랙,블랙/FR
1812159410,FR,블랙,블랙/FR
1812160540,F,투명,투명/F
1901161912,F,100ml,100ml/F
1901161916,F,100ml,100ml/F
1901166173,FR,그레이,그레이/FR
1901166484,FR,기타,기타/FR
1901166701,F,아이콘,아이콘/F
1901166701,F,어돈,어돈/F
1901166701,F,베어,베어/F
1901166701,F,카메오,카메오/F
1901166705,F,녹터널,녹터널/F
1901167236,S,라이트그레이,라이트그레이/S
1901167236, M,라이트그레이,라이트그레이/ M
1901167237,S,캐멀,캐멀/S
1901167237, M,캐멀,캐멀/ M
1901167501,S,라이트 베이지,라이트 베이지/S
1901167501, M,라이트 베이지,라이트 베이지/ M
1901168095,FR,베이지,베이지/FR
1902169268,FR,기타,기타/FR
1902170394,FR,다크 그레이,다크 그레이/FR
1902170707,FR,화이트,화이트/FR
1902171310,F,투명,투명/F
1902171311,F,투명,투명/F
1902171314,F,옐로,옐로/F
1902171338,F,투명,투명/F
1902171339,F,투명,투명/F
1902171344,F,투명,투명/F
1902171369,F,투명,투명/F
1902172315,S,블랙,블랙/S
1902172315, M,블랙,블랙/ M
1903174569,F,투명,투명/F
1903177559,225mm,블랙,블랙/225mm
1903177559,230mm,블랙,블랙/230mm
1903177559,235mm,블랙,블랙/235mm
1903177559,240mm,블랙,블랙/240mm
1903177559,245mm,블랙,블랙/245mm
1903177559,250mm,블랙,블랙/250mm
1903177559,255mm,블랙,블랙/255mm
1903178481,FR,다크그린,다크그린/FR
1903178733,FR,그레이,그레이/FR
1903178733,FR,아이보리,아이보리/FR
1903178735,F,투명,투명/F
1903178737,F,투명,투명/F
1904180915,FREE,다크그린,다크그린/FREE
1904180927,FREE,실버,실버/FREE
1904180928,FREE,실버,실버/FREE
1904180929,FREE,핑크,핑크/FREE
1904180938,FREE,핑크,핑크/FREE
1904180940,FREE,실버,실버/FREE
1904181685,FREE,다크그린,다크그린/FREE
1904181686,FREE,오프 화이트,오프 화이트/FREE
1904181687,FREE,화이트,화이트/FREE
1904181695,FREE,핑크,핑크/FREE
1904181696,FREE,핑크,핑크/FREE
1904181710,FREE,핑크,핑크/FREE
1904181711,FREE,핑크,핑크/FREE
1904181712,FREE,핑크,핑크/FREE
1904181713,FREE,핑크,핑크/FREE
1904181714,FREE,다크그린,다크그린/FREE
1904181716,FREE,핑크,핑크/FREE
1904181740,FREE,실버,실버/FREE
1904181741,FREE,골드,골드/FREE
1904181802,S,그레이,그레이/S
1904181802,S,다크 네이비,다크 네이비/S
1904181802,S,다크브라운,다크브라운/S
1904181802,M,그레이,그레이/M
1904181802,M,다크 네이비,다크 네이비/M
1904181802,M,다크브라운,다크브라운/M
1904181802,L,그레이,그레이/L
1904181802,L,다크 네이비,다크 네이비/L
1904181802,L,다크브라운,다크브라운/L
1904181802,XL,그레이,그레이/XL
1904181802,XL,다크 네이비,다크 네이비/XL
1904181802,XL,다크브라운,다크브라운/XL
1904183899,FR,그레이,그레이/FR
